institution,year,status,total
Ansgar høyskole,2022,diamant,3
Ansgar høyskole,2022,grønn,1
Ansgar høyskole,2022,lukket,6
Ansgar høyskole,2023,diamant,5
Ansgar høyskole,2023,gull,2
Ansgar høyskole,2023,hybrid_avtale,1
Ansgar høyskole,2023,grønn,1
Ansgar høyskole,2023,lukket,8
Ansgar høyskole,2024,hybrid,3
Ansgar høyskole,2024,grønn,2
Ansgar høyskole,2024,lukket,3
Ansgar høyskole,2025,diamant,3
Ansgar høyskole,2025,gull,4
Ansgar høyskole,2025,hybrid_avtale,2
Ansgar høyskole,2025,lukket,2
Arkitektur- og designhøgskolen i Oslo,2013,diamant,3
Arkitektur- og designhøgskolen i Oslo,2013,gull,3
Arkitektur- og designhøgskolen i Oslo,2013,grønn,4
Arkitektur- og designhøgskolen i Oslo,2013,lukket,14
Arkitektur- og designhøgskolen i Oslo,2014,diamant,3
Arkitektur- og designhøgskolen i Oslo,2014,gull,3
Arkitektur- og designhøgskolen i Oslo,2014,grønn,8
Arkitektur- og designhøgskolen i Oslo,2014,lukket,9
Arkitektur- og designhøgskolen i Oslo,2015,diamant,3
Arkitektur- og designhøgskolen i Oslo,2015,gull,2
Arkitektur- og designhøgskolen i Oslo,2015,grønn,2
Arkitektur- og designhøgskolen i Oslo,2015,lukket,18
Arkitektur- og designhøgskolen i Oslo,2016,diamant,2
Arkitektur- og designhøgskolen i Oslo,2016,gull,3
Arkitektur- og designhøgskolen i Oslo,2016,grønn,7
Arkitektur- og designhøgskolen i Oslo,2016,lukket,7
Arkitektur- og designhøgskolen i Oslo,2017,diamant,4
Arkitektur- og designhøgskolen i Oslo,2017,gull,1
Arkitektur- og designhøgskolen i Oslo,2017,hybrid,5
Arkitektur- og designhøgskolen i Oslo,2017,grønn,7
Arkitektur- og designhøgskolen i Oslo,2017,lukket,3
Arkitektur- og designhøgskolen i Oslo,2018,diamant,1
Arkitektur- og designhøgskolen i Oslo,2018,gull,2
Arkitektur- og designhøgskolen i Oslo,2018,grønn,9
Arkitektur- og designhøgskolen i Oslo,2018,lukket,5
Arkitektur- og designhøgskolen i Oslo,2019,diamant,5
Arkitektur- og designhøgskolen i Oslo,2019,gull,3
Arkitektur- og designhøgskolen i Oslo,2019,hybrid_avtale,1
Arkitektur- og designhøgskolen i Oslo,2019,grønn,11
Arkitektur- og designhøgskolen i Oslo,2019,lukket,3
Arkitektur- og designhøgskolen i Oslo,2020,diamant,8
Arkitektur- og designhøgskolen i Oslo,2020,gull,4
Arkitektur- og designhøgskolen i Oslo,2020,hybrid,2
Arkitektur- og designhøgskolen i Oslo,2020,grønn,5
Arkitektur- og designhøgskolen i Oslo,2020,lukket,8
Arkitektur- og designhøgskolen i Oslo,2021,diamant,1
Arkitektur- og designhøgskolen i Oslo,2021,gull,7
Arkitektur- og designhøgskolen i Oslo,2021,hybrid,5
Arkitektur- og designhøgskolen i Oslo,2021,hybrid_avtale,2
Arkitektur- og designhøgskolen i Oslo,2021,grønn,2
Arkitektur- og designhøgskolen i Oslo,2021,lukket,11
Arkitektur- og designhøgskolen i Oslo,2022,diamant,8
Arkitektur- og designhøgskolen i Oslo,2022,gull,6
Arkitektur- og designhøgskolen i Oslo,2022,hybrid,6
Arkitektur- og designhøgskolen i Oslo,2022,hybrid_avtale,2
Arkitektur- og designhøgskolen i Oslo,2022,grønn,2
Arkitektur- og designhøgskolen i Oslo,2022,lukket,7
Arkitektur- og designhøgskolen i Oslo,2023,diamant,4
Arkitektur- og designhøgskolen i Oslo,2023,gull,6
Arkitektur- og designhøgskolen i Oslo,2023,hybrid,8
Arkitektur- og designhøgskolen i Oslo,2023,hybrid_avtale,3
Arkitektur- og designhøgskolen i Oslo,2023,grønn,6
Arkitektur- og designhøgskolen i Oslo,2023,lukket,8
Arkitektur- og designhøgskolen i Oslo,2024,diamant,1
Arkitektur- og designhøgskolen i Oslo,2024,gull,7
Arkitektur- og designhøgskolen i Oslo,2024,hybrid,4
Arkitektur- og designhøgskolen i Oslo,2024,grønn,1
Arkitektur- og designhøgskolen i Oslo,2024,lukket,3
Arkitektur- og designhøgskolen i Oslo,2025,diamant,4
Arkitektur- og designhøgskolen i Oslo,2025,gull,6
Arkitektur- og designhøgskolen i Oslo,2025,hybrid,3
Arkitektur- og designhøgskolen i Oslo,2025,hybrid_avtale,5
Arkitektur- og designhøgskolen i Oslo,2025,grønn,4
Arkitektur- og designhøgskolen i Oslo,2025,deponert,1
Arkitektur- og designhøgskolen i Oslo,2025,lukket,12
Arkivverket - Riksarkivet og statsarkivene,2019,diamant,1
Arkivverket - Riksarkivet og statsarkivene,2020,diamant,1
Arkivverket - Riksarkivet og statsarkivene,2021,diamant,2
Arkivverket - Riksarkivet og statsarkivene,2022,diamant,1
Arkivverket - Riksarkivet og statsarkivene,2023,diamant,1
Arkivverket - Riksarkivet og statsarkivene,2023,hybrid_avtale,1
Arkivverket - Riksarkivet og statsarkivene,2023,lukket,1
Arkivverket - Riksarkivet og statsarkivene,2024,hybrid_avtale,1
Arkivverket - Riksarkivet og statsarkivene,2024,lukket,1
Arkivverket - Riksarkivet og statsarkivene,2025,grønn,1
Barratt Due musikkinstitutt,2018,grønn,1
"Betanien Hospital, Skien",2013,lukket,1
"Betanien Hospital, Skien",2014,gull,1
"Betanien Hospital, Skien",2014,lukket,2
"Betanien Hospital, Skien",2015,gull,2
"Betanien Hospital, Skien",2015,lukket,1
"Betanien Hospital, Skien",2016,lukket,2
"Betanien Hospital, Skien",2017,gull,4
"Betanien Hospital, Skien",2017,lukket,3
"Betanien Hospital, Skien",2018,gull,3
"Betanien Hospital, Skien",2018,lukket,4
"Betanien Hospital, Skien",2019,hybrid,1
"Betanien Hospital, Skien",2019,lukket,1
"Betanien Hospital, Skien",2020,gull,2
"Betanien Hospital, Skien",2020,lukket,1
"Betanien Hospital, Skien",2021,hybrid,1
"Betanien Hospital, Skien",2021,grønn,1
"Betanien Hospital, Skien",2021,lukket,2
"Betanien Hospital, Skien",2022,gull,1
"Betanien Hospital, Skien",2023,gull,3
"Betanien Hospital, Skien",2023,hybrid,1
"Betanien Hospital, Skien",2023,hybrid_avtale,2
"Betanien Hospital, Skien",2024,gull,2
"Betanien Hospital, Skien",2024,lukket,1
"Betanien Hospital, Skien",2025,gull,1
"Betanien Hospital, Skien",2025,hybrid,1
"Betanien Hospital, Skien",2025,lukket,1
"Betanien sykehus, Bergen",2025,diamant,1
"Betanien sykehus, Bergen",2025,gull,4
"Betanien sykehus, Bergen",2025,hybrid_avtale,1
CICERO Senter for klimaforskning,2013,gull,36
CICERO Senter for klimaforskning,2013,hybrid,3
CICERO Senter for klimaforskning,2013,grønn,17
CICERO Senter for klimaforskning,2013,lukket,33
CICERO Senter for klimaforskning,2014,gull,14
CICERO Senter for klimaforskning,2014,hybrid,4
CICERO Senter for klimaforskning,2014,grønn,23
CICERO Senter for klimaforskning,2014,lukket,22
CICERO Senter for klimaforskning,2015,gull,19
CICERO Senter for klimaforskning,2015,hybrid,2
CICERO Senter for klimaforskning,2015,grønn,16
CICERO Senter for klimaforskning,2015,lukket,20
CICERO Senter for klimaforskning,2016,diamant,1
CICERO Senter for klimaforskning,2016,gull,22
CICERO Senter for klimaforskning,2016,hybrid,7
CICERO Senter for klimaforskning,2016,grønn,20
CICERO Senter for klimaforskning,2016,lukket,16
CICERO Senter for klimaforskning,2017,gull,25
CICERO Senter for klimaforskning,2017,hybrid,9
CICERO Senter for klimaforskning,2017,grønn,19
CICERO Senter for klimaforskning,2017,lukket,22
CICERO Senter for klimaforskning,2018,diamant,1
CICERO Senter for klimaforskning,2018,gull,24
CICERO Senter for klimaforskning,2018,hybrid,18
CICERO Senter for klimaforskning,2018,grønn,6
CICERO Senter for klimaforskning,2018,lukket,23
CICERO Senter for klimaforskning,2019,diamant,1
CICERO Senter for klimaforskning,2019,gull,31
CICERO Senter for klimaforskning,2019,hybrid,6
CICERO Senter for klimaforskning,2019,hybrid_avtale,1
CICERO Senter for klimaforskning,2019,grønn,8
CICERO Senter for klimaforskning,2019,lukket,12
CICERO Senter for klimaforskning,2020,diamant,2
CICERO Senter for klimaforskning,2020,gull,42
CICERO Senter for klimaforskning,2020,hybrid,6
CICERO Senter for klimaforskning,2020,hybrid_avtale,8
CICERO Senter for klimaforskning,2020,grønn,21
CICERO Senter for klimaforskning,2020,lukket,7
CICERO Senter for klimaforskning,2021,gull,42
CICERO Senter for klimaforskning,2021,hybrid,13
CICERO Senter for klimaforskning,2021,hybrid_avtale,6
CICERO Senter for klimaforskning,2021,grønn,18
CICERO Senter for klimaforskning,2021,lukket,6
CICERO Senter for klimaforskning,2022,diamant,2
CICERO Senter for klimaforskning,2022,gull,44
CICERO Senter for klimaforskning,2022,hybrid,18
CICERO Senter for klimaforskning,2022,hybrid_avtale,4
CICERO Senter for klimaforskning,2022,grønn,15
CICERO Senter for klimaforskning,2022,lukket,6
CICERO Senter for klimaforskning,2023,diamant,2
CICERO Senter for klimaforskning,2023,gull,48
CICERO Senter for klimaforskning,2023,hybrid,19
CICERO Senter for klimaforskning,2023,hybrid_avtale,5
CICERO Senter for klimaforskning,2023,grønn,8
CICERO Senter for klimaforskning,2023,lukket,13
CICERO Senter for klimaforskning,2024,diamant,1
CICERO Senter for klimaforskning,2024,gull,60
CICERO Senter for klimaforskning,2024,hybrid,18
CICERO Senter for klimaforskning,2024,hybrid_avtale,17
CICERO Senter for klimaforskning,2024,grønn,9
CICERO Senter for klimaforskning,2024,lukket,3
CICERO Senter for klimaforskning,2025,diamant,2
CICERO Senter for klimaforskning,2025,gull,83
CICERO Senter for klimaforskning,2025,hybrid,30
CICERO Senter for klimaforskning,2025,hybrid_avtale,3
CICERO Senter for klimaforskning,2025,grønn,6
CICERO Senter for klimaforskning,2025,lukket,9
Chr. Michelsen Institute,2013,diamant,1
Chr. Michelsen Institute,2013,gull,2
Chr. Michelsen Institute,2013,grønn,4
Chr. Michelsen Institute,2013,lukket,29
Chr. Michelsen Institute,2014,gull,4
Chr. Michelsen Institute,2014,hybrid,1
Chr. Michelsen Institute,2014,grønn,7
Chr. Michelsen Institute,2014,lukket,16
Chr. Michelsen Institute,2015,diamant,2
Chr. Michelsen Institute,2015,gull,2
Chr. Michelsen Institute,2015,hybrid,1
Chr. Michelsen Institute,2015,grønn,1
Chr. Michelsen Institute,2015,lukket,14
Chr. Michelsen Institute,2016,diamant,1
Chr. Michelsen Institute,2016,gull,3
Chr. Michelsen Institute,2016,grønn,1
Chr. Michelsen Institute,2016,lukket,19
Chr. Michelsen Institute,2017,diamant,1
Chr. Michelsen Institute,2017,gull,4
Chr. Michelsen Institute,2017,hybrid,3
Chr. Michelsen Institute,2017,grønn,4
Chr. Michelsen Institute,2017,lukket,9
Chr. Michelsen Institute,2018,diamant,3
Chr. Michelsen Institute,2018,gull,5
Chr. Michelsen Institute,2018,hybrid,4
Chr. Michelsen Institute,2018,grønn,7
Chr. Michelsen Institute,2018,lukket,12
Chr. Michelsen Institute,2019,diamant,4
Chr. Michelsen Institute,2019,gull,6
Chr. Michelsen Institute,2019,hybrid,7
Chr. Michelsen Institute,2019,grønn,9
Chr. Michelsen Institute,2019,lukket,12
Chr. Michelsen Institute,2020,diamant,5
Chr. Michelsen Institute,2020,gull,7
Chr. Michelsen Institute,2020,hybrid,3
Chr. Michelsen Institute,2020,hybrid_avtale,3
Chr. Michelsen Institute,2020,grønn,6
Chr. Michelsen Institute,2020,lukket,6
Chr. Michelsen Institute,2021,diamant,7
Chr. Michelsen Institute,2021,gull,22
Chr. Michelsen Institute,2021,hybrid,3
Chr. Michelsen Institute,2021,hybrid_avtale,9
Chr. Michelsen Institute,2021,grønn,8
Chr. Michelsen Institute,2021,lukket,14
Chr. Michelsen Institute,2022,diamant,5
Chr. Michelsen Institute,2022,gull,8
Chr. Michelsen Institute,2022,hybrid,3
Chr. Michelsen Institute,2022,hybrid_avtale,7
Chr. Michelsen Institute,2022,grønn,2
Chr. Michelsen Institute,2022,lukket,5
Chr. Michelsen Institute,2023,gull,5
Chr. Michelsen Institute,2023,hybrid,8
Chr. Michelsen Institute,2023,hybrid_avtale,15
Chr. Michelsen Institute,2023,grønn,6
Chr. Michelsen Institute,2023,lukket,4
Chr. Michelsen Institute,2024,diamant,5
Chr. Michelsen Institute,2024,gull,10
Chr. Michelsen Institute,2024,hybrid,10
Chr. Michelsen Institute,2024,hybrid_avtale,12
Chr. Michelsen Institute,2024,grønn,3
Chr. Michelsen Institute,2024,lukket,12
Chr. Michelsen Institute,2025,diamant,3
Chr. Michelsen Institute,2025,gull,6
Chr. Michelsen Institute,2025,hybrid,8
Chr. Michelsen Institute,2025,hybrid_avtale,20
Chr. Michelsen Institute,2025,grønn,4
Chr. Michelsen Institute,2025,lukket,8
Diakonhjemmet sykehus,2013,diamant,4
Diakonhjemmet sykehus,2013,gull,13
Diakonhjemmet sykehus,2013,hybrid,12
Diakonhjemmet sykehus,2013,grønn,13
Diakonhjemmet sykehus,2013,lukket,66
Diakonhjemmet sykehus,2014,diamant,3
Diakonhjemmet sykehus,2014,gull,18
Diakonhjemmet sykehus,2014,hybrid,12
Diakonhjemmet sykehus,2014,grønn,13
Diakonhjemmet sykehus,2014,lukket,79
Diakonhjemmet sykehus,2015,diamant,3
Diakonhjemmet sykehus,2015,gull,23
Diakonhjemmet sykehus,2015,hybrid,14
Diakonhjemmet sykehus,2015,grønn,10
Diakonhjemmet sykehus,2015,lukket,86
Diakonhjemmet sykehus,2016,diamant,4
Diakonhjemmet sykehus,2016,gull,29
Diakonhjemmet sykehus,2016,hybrid,10
Diakonhjemmet sykehus,2016,grønn,13
Diakonhjemmet sykehus,2016,lukket,79
Diakonhjemmet sykehus,2017,diamant,5
Diakonhjemmet sykehus,2017,gull,31
Diakonhjemmet sykehus,2017,hybrid,6
Diakonhjemmet sykehus,2017,grønn,27
Diakonhjemmet sykehus,2017,lukket,71
Diakonhjemmet sykehus,2018,diamant,5
Diakonhjemmet sykehus,2018,gull,40
Diakonhjemmet sykehus,2018,hybrid,14
Diakonhjemmet sykehus,2018,grønn,27
Diakonhjemmet sykehus,2018,deponert,1
Diakonhjemmet sykehus,2018,lukket,67
Diakonhjemmet sykehus,2019,diamant,5
Diakonhjemmet sykehus,2019,gull,43
Diakonhjemmet sykehus,2019,hybrid,13
Diakonhjemmet sykehus,2019,hybrid_avtale,6
Diakonhjemmet sykehus,2019,grønn,36
Diakonhjemmet sykehus,2019,lukket,50
Diakonhjemmet sykehus,2020,diamant,3
Diakonhjemmet sykehus,2020,gull,60
Diakonhjemmet sykehus,2020,hybrid,14
Diakonhjemmet sykehus,2020,hybrid_avtale,28
Diakonhjemmet sykehus,2020,grønn,25
Diakonhjemmet sykehus,2020,lukket,24
Diakonhjemmet sykehus,2021,diamant,3
Diakonhjemmet sykehus,2021,gull,64
Diakonhjemmet sykehus,2021,hybrid,27
Diakonhjemmet sykehus,2021,hybrid_avtale,37
Diakonhjemmet sykehus,2021,grønn,22
Diakonhjemmet sykehus,2021,lukket,41
Diakonhjemmet sykehus,2022,diamant,2
Diakonhjemmet sykehus,2022,gull,80
Diakonhjemmet sykehus,2022,hybrid,23
Diakonhjemmet sykehus,2022,hybrid_avtale,36
Diakonhjemmet sykehus,2022,grønn,22
Diakonhjemmet sykehus,2022,lukket,36
Diakonhjemmet sykehus,2023,gull,59
Diakonhjemmet sykehus,2023,hybrid,21
Diakonhjemmet sykehus,2023,hybrid_avtale,49
Diakonhjemmet sykehus,2023,grønn,20
Diakonhjemmet sykehus,2023,lukket,18
Diakonhjemmet sykehus,2024,diamant,2
Diakonhjemmet sykehus,2024,gull,85
Diakonhjemmet sykehus,2024,hybrid,33
Diakonhjemmet sykehus,2024,hybrid_avtale,52
Diakonhjemmet sykehus,2024,grønn,17
Diakonhjemmet sykehus,2024,lukket,31
Diakonhjemmet sykehus,2025,diamant,2
Diakonhjemmet sykehus,2025,gull,90
Diakonhjemmet sykehus,2025,hybrid,38
Diakonhjemmet sykehus,2025,hybrid_avtale,36
Diakonhjemmet sykehus,2025,grønn,11
Diakonhjemmet sykehus,2025,deponert,3
Diakonhjemmet sykehus,2025,lukket,21
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2013,diamant,4
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2013,gull,1
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2013,grønn,1
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2013,lukket,13
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2014,gull,1
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2014,hybrid,1
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2014,lukket,12
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2015,diamant,5
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2015,gull,5
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2015,grønn,2
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2015,lukket,13
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2016,diamant,10
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2016,gull,2
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2016,grønn,6
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2016,lukket,5
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2017,diamant,8
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2017,gull,7
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2017,hybrid,1
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2017,grønn,8
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2017,lukket,7
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2018,diamant,6
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2018,gull,5
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2018,grønn,1
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2018,lukket,11
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2019,diamant,5
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2019,gull,3
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2019,hybrid,6
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2019,grønn,5
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2019,lukket,6
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2020,diamant,5
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2020,gull,18
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2020,hybrid,2
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2020,hybrid_avtale,6
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2020,lukket,7
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2021,diamant,2
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2021,gull,11
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2021,hybrid,2
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2021,hybrid_avtale,9
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2021,grønn,2
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2021,lukket,4
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2022,diamant,6
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2022,gull,10
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2022,hybrid,2
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2022,hybrid_avtale,5
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2022,grønn,3
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2022,lukket,3
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2023,diamant,11
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2023,gull,10
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2023,hybrid,1
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2023,hybrid_avtale,2
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2023,grønn,5
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2023,lukket,1
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2024,diamant,7
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2024,gull,8
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2024,hybrid,1
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2024,hybrid_avtale,7
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2024,grønn,2
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2025,diamant,15
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2025,gull,21
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2025,hybrid,7
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2025,hybrid_avtale,15
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2025,grønn,3
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2025,lukket,1
Fafo Institutt for arbeidslivs- og velferdsforskning,2013,gull,2
Fafo Institutt for arbeidslivs- og velferdsforskning,2013,hybrid,2
Fafo Institutt for arbeidslivs- og velferdsforskning,2013,grønn,1
Fafo Institutt for arbeidslivs- og velferdsforskning,2013,lukket,23
Fafo Institutt for arbeidslivs- og velferdsforskning,2014,diamant,1
Fafo Institutt for arbeidslivs- og velferdsforskning,2014,gull,7
Fafo Institutt for arbeidslivs- og velferdsforskning,2014,hybrid,1
Fafo Institutt for arbeidslivs- og velferdsforskning,2014,grønn,3
Fafo Institutt for arbeidslivs- og velferdsforskning,2014,lukket,15
Fafo Institutt for arbeidslivs- og velferdsforskning,2015,diamant,4
Fafo Institutt for arbeidslivs- og velferdsforskning,2015,gull,5
Fafo Institutt for arbeidslivs- og velferdsforskning,2015,hybrid,2
Fafo Institutt for arbeidslivs- og velferdsforskning,2015,grønn,3
Fafo Institutt for arbeidslivs- og velferdsforskning,2015,lukket,22
Fafo Institutt for arbeidslivs- og velferdsforskning,2016,diamant,4
Fafo Institutt for arbeidslivs- og velferdsforskning,2016,gull,2
Fafo Institutt for arbeidslivs- og velferdsforskning,2016,hybrid,2
Fafo Institutt for arbeidslivs- og velferdsforskning,2016,grønn,3
