year,discipline,status,total
2018,Humaniora,diamant,186
2018,Realfag og teknologi,gull,1755
2018,Medisin og helsefag,gull,1617
2018,Samfunnsvitenskap,gull,704
2018,Humaniora,gull,348
2018,Realfag og teknologi,hybrid,841
2018,Medisin og helsefag,hybrid,565
2018,Samfunnsvitenskap,hybrid,404
2018,Humaniora,hybrid,157
2018,Realfag og teknologi,hybrid_avtale,0
2018,Medisin og helsefag,hybrid_avtale,0
2018,Samfunnsvitenskap,hybrid_avtale,0
2018,Humaniora,hybrid_avtale,0
2018,Realfag og teknologi,grønn,2488
2018,Medisin og helsefag,grønn,1888
2018,Samfunnsvitenskap,grønn,1450
2018,Humaniora,grønn,763
2018,Realfag og teknologi,deponert,5
2018,Medisin og helsefag,deponert,3
2018,Samfunnsvitenskap,deponert,2
2018,Humaniora,deponert,2
2018,Realfag og teknologi,lukket,2826
2018,Medisin og helsefag,lukket,1832
2018,Samfunnsvitenskap,lukket,1626
2018,Humaniora,lukket,1016
2019,Realfag og teknologi,diamant,491
2019,Medisin og helsefag,diamant,333
2019,Samfunnsvitenskap,diamant,349
2019,Humaniora,diamant,208
2019,Realfag og teknologi,gull,2252
2019,Medisin og helsefag,gull,2000
2019,Samfunnsvitenskap,gull,943
2019,Humaniora,gull,464
2019,Realfag og teknologi,hybrid,849
2019,Medisin og helsefag,hybrid,636
2019,Samfunnsvitenskap,hybrid,415
2019,Humaniora,hybrid,160
2019,Realfag og teknologi,hybrid_avtale,501
2019,Medisin og helsefag,hybrid_avtale,381
2019,Samfunnsvitenskap,hybrid_avtale,227
2019,Humaniora,hybrid_avtale,102
2019,Realfag og teknologi,grønn,2459
2019,Medisin og helsefag,grønn,2079
2019,Samfunnsvitenskap,grønn,1451
2019,Humaniora,grønn,769
2019,Realfag og teknologi,deponert,3
2019,Medisin og helsefag,deponert,2
2019,Samfunnsvitenskap,deponert,1
2019,Humaniora,deponert,1
2019,Realfag og teknologi,lukket,2090
2019,Medisin og helsefag,lukket,1450
2019,Samfunnsvitenskap,lukket,1309
2019,Humaniora,lukket,834
2020,Realfag og teknologi,diamant,485
2020,Medisin og helsefag,diamant,364
2020,Samfunnsvitenskap,diamant,371
2020,Humaniora,diamant,219
2020,Realfag og teknologi,gull,2532
2020,Medisin og helsefag,gull,2284
2020,Samfunnsvitenskap,gull,1186
2020,Humaniora,gull,534
2020,Realfag og teknologi,hybrid,976
2020,Medisin og helsefag,hybrid,712
2020,Samfunnsvitenskap,hybrid,469
2020,Humaniora,hybrid,178
2020,Realfag og teknologi,hybrid_avtale,1493
2020,Medisin og helsefag,hybrid_avtale,1197
2020,Samfunnsvitenskap,hybrid_avtale,712
2020,Humaniora,hybrid_avtale,321
2020,Realfag og teknologi,grønn,2074
2020,Medisin og helsefag,grønn,1607
2020,Samfunnsvitenskap,grønn,1233
2020,Humaniora,grønn,654
2020,Realfag og teknologi,deponert,14
2020,Medisin og helsefag,deponert,8
2020,Samfunnsvitenskap,deponert,7
2020,Humaniora,deponert,5
2020,Realfag og teknologi,lukket,1717
2020,Medisin og helsefag,lukket,1229
2020,Samfunnsvitenskap,lukket,1091
2020,Humaniora,lukket,668
2021,Realfag og teknologi,diamant,503
2021,Medisin og helsefag,diamant,375
2021,Samfunnsvitenskap,diamant,357
2021,Humaniora,diamant,230
2021,Realfag og teknologi,gull,3009
2021,Medisin og helsefag,gull,2777
2021,Samfunnsvitenskap,gull,1382
2021,Humaniora,gull,602
2021,Realfag og teknologi,hybrid,1283
2021,Medisin og helsefag,hybrid,852
2021,Samfunnsvitenskap,hybrid,596
2021,Humaniora,hybrid,224
2021,Realfag og teknologi,hybrid_avtale,1915
2021,Medisin og helsefag,hybrid_avtale,1424
2021,Samfunnsvitenskap,hybrid_avtale,815
2021,Humaniora,hybrid_avtale,385
2021,Realfag og teknologi,grønn,1693
2021,Medisin og helsefag,grønn,1486
2021,Samfunnsvitenskap,grønn,1101
2021,Humaniora,grønn,554
2021,Realfag og teknologi,deponert,12
2021,Medisin og helsefag,deponert,7
2021,Samfunnsvitenskap,deponert,6
2021,Humaniora,deponert,5
2021,Realfag og teknologi,lukket,1778
2021,Medisin og helsefag,lukket,1269
2021,Samfunnsvitenskap,lukket,1093
2021,Humaniora,lukket,683
2022,Realfag og teknologi,diamant,542
2022,Medisin og helsefag,diamant,397
2022,Samfunnsvitenskap,diamant,358
2022,Humaniora,diamant,209
2022,Realfag og teknologi,gull,3159
2022,Medisin og helsefag,gull,2754
2022,Samfunnsvitenskap,gull,1445
2022,Humaniora,gull,670
2022,Realfag og teknologi,hybrid,1302
2022,Medisin og helsefag,hybrid,995
2022,Samfunnsvitenskap,hybrid,670
2022,Humaniora,hybrid,246
2022,Realfag og teknologi,hybrid_avtale,1884
2022,Medisin og helsefag,hybrid_avtale,1463
2022,Samfunnsvitenskap,hybrid_avtale,752
2022,Humaniora,hybrid_avtale,369
2022,Realfag og teknologi,grønn,1455
2022,Medisin og helsefag,grønn,1076
2022,Samfunnsvitenskap,grønn,779
