year,sector,status,total
2022,Institutt,hybrid_avtale,463
2022,Helse,hybrid_avtale,565
2022,UH,grønn,2654
2022,Institutt,grønn,478
2022,Helse,grønn,796
2022,UH,deponert,33
2022,Institutt,deponert,7
2022,Helse,deponert,7
2022,UH,lukket,2579
2022,Institutt,lukket,715
2022,Helse,lukket,604
2023,UH,diamant,1228
2023,Institutt,diamant,176
2023,Helse,diamant,252
2023,UH,gull,5734
2023,Institutt,gull,1145
2023,Helse,gull,1505
2023,UH,hybrid,2628
2023,Institutt,hybrid,523
2023,Helse,hybrid,483
2023,UH,hybrid_avtale,3659
2023,Institutt,hybrid_avtale,515
2023,Helse,hybrid_avtale,586
2023,UH,grønn,2122
2023,Institutt,grønn,397
2023,Helse,grønn,660
2023,UH,deponert,57
2023,Institutt,deponert,12
2023,Helse,deponert,13
2023,UH,lukket,2329
2023,Institutt,lukket,689
2023,Helse,lukket,474
2024,UH,diamant,1248
2024,Institutt,diamant,176
2024,Helse,diamant,268
2024,UH,gull,5535
2024,Institutt,gull,1011
2024,Helse,gull,1472
2024,UH,hybrid,2647
2024,Institutt,hybrid,541
2024,Helse,hybrid,543
2024,UH,hybrid_avtale,3952
2024,Institutt,hybrid_avtale,518
2024,Helse,hybrid_avtale,617
2024,UH,grønn,1823
2024,Institutt,grønn,300
2024,Helse,grønn,590
2024,UH,deponert,65
2024,Institutt,deponert,14
2024,Helse,deponert,15
2024,UH,lukket,2323
2024,Institutt,lukket,616
2024,Helse,lukket,509
2025,UH,diamant,1304
2025,Institutt,diamant,184
2025,Helse,diamant,297
2025,UH,gull,6296
2025,Institutt,gull,1028
2025,Helse,gull,1372
2025,UH,hybrid,2892
2025,Institutt,hybrid,617
2025,Helse,hybrid,612
2025,UH,hybrid_avtale,3669
2025,Institutt,hybrid_avtale,439
2025,Helse,hybrid_avtale,510
2025,UH,grønn,1887
2025,Institutt,grønn,337
2025,Helse,grønn,610
2025,UH,deponert,561
2025,Institutt,deponert,115
2025,Helse,deponert,105
2025,UH,lukket,2389
2025,Institutt,lukket,589
2025,Helse,lukket,482
